author,name,price,wordCount
全国计算机等级考试教材编写组 未来教学与研究中心,一级计算机基础及Photoshop应用,29.40,143922
(英) 阿兰·德波顿,写给无神论者（中英双语插图本）,25.46,142792
苗春雨,网络安全渗透测试,87.50,111357
[英] 阿兰·德波顿,拥抱逝水年华,28.99,92896
赵俊亚,大学生创新创业教育,23.81,277722
谢红霞,沟通技巧（第3版）,24.00,207627
梁衡,数理化通俗演义,2.99,324889
李世明,跟阿铭学Linux（第4版）,49.00,206633
张雪峰,决胜高中三年关键期,29.00,110832
希赛教育软考学院,信息系统项目管理师考试辅导教程（第4版）,41.30,472727
[英] 约翰·斯图尔特·密尔（John Stuart Mill）,论自由,11.40,73706
朱浩楠,数学建模：教学设计与案例,52.20,69905
杨述,PMP 5A备考宝典（全彩图解）,58.00,144271
[美] 菲茨杰拉德,返老还童,0.99,75227
张军平,高质量读研：教你如何写论文、做科研,32.90,117701
白远,国际商务谈判（第4版）,16.20,223342
李长栓,非文学翻译理论与实践（第二版）,23.99,224585
王铭铭,人类学讲义稿,34.99,709405
[美] 欧·亨利,最后一片叶子（中英双语）,14.99,129798
张晓华,“马克思主义基本原理概论”教学疑难深度解析,34.50,320582
方振宇,英语口语：零基础入门,18.75,87774
徐锋,有效需求分析,48.30,111037
[日] 户根勤,网络是怎样连接的,16.45,168007
刘军强,写作是门手艺,10.40,195288
[美] 芭芭拉·奥克利,学习之道,20.00,137183
[英] 奥斯卡·王尔德,自深深处,5.50,87704
鲁迅,鲁迅经典,7.06,131703
[美] 杰克·伦敦 (Jack London),野性的呼唤,3.92,240674
老夏,老夏说公务员面试：助你顺利考上公务员,13.99,201346
[英] 乔治·奥威尔,一九八四,9.90,181687
湖南省会计从业资格考试学习丛书编委会,考试大纲,9.00,15221
[美] 威廉·斯特伦克  著,风格的要素,9.90,50943
[美] 海明威,乞力马扎罗的雪,6.00,74503
[英] 比尔·布莱森,美式英语简史,79.90,335725
李静,管理学基础,20.30,173910
Joseph Devlin,How to Speak and Write Correctly,0.00,42099
张维迎,经济学原理（北京大学通识教育核心课程配套教材）,15.99,391376
[英] 亚当·斯密,国富论：插图本,3.99,197527
张雪峰,选择比努力更重要（修订版） ,27.20,227392
鲁显生,研究生英语学位课统考真题及模拟题精解（GET 2019—2020）,27.00,108382
[英] 阿兰·德波顿,旅行的艺术（中英双语插图本）,9.99,149548
苏朝晖,消费者行为学,25.30,186147
李罡,流行音乐多声部写作教程,20.42,40197
历史研习社,历史的荣耀,46.99,174002
黄倩,财务报表分析,14.50,142489
小简学堂,《西游记》（精读课程）,14.99,178974
杨树峰,招投标与合同管理,9.30,197480
窦昕,初中古诗词精讲88课3,17.50,110137
武承泽,简历写作与求职通关一册通,31.50,113700
张燕,欧洲法院个人数据保护典型案例述评,22.50,228459
[英] 乔纳森·沃尔夫,道德哲学,17.99,230746
彭来柱,古典吉他入门教程,24.00,14849
刘刚,物流管理（第四版）,19.00,239562
杨洋,听音乐，牢记雅思3000核心词,21.00,90847
[英] 威廉·莎士比亚,哈姆雷特,9.99,159610
钱歌川,翻译的技巧,21.60,290642
胡竹菁,社会心理学,34.68,289640
唐东平,摄影构图,19.20,81025
林学军,国际商务,34.30,360437
谢爱萍,会计学基础（第四版）,23.40,202591
《证券发行与承销同步辅导教材》编写组 编,证券发行与承销,29.00,359583
李刚英,大学生心理健康,14.50,198172
[英] 柯南·道尔,福尔摩斯探案集,9.99,179299
[英] 莎士比亚,麦克白斯,5.99,68540
那天,托福口语黄金800词,13.50,61825
温德通,集成电路制造工艺与工程应用,49.00,155506
赵黎,大学生社交礼仪,14.99,190348
蔡忠平,初中现代文阅读内容把握与方法突破,12.18,128978
[英] 威廉·莎士比亚,莎士比亚十四行诗,6.99,48633
[英] 洛根·波绍尔·史密斯,浮生琐记（英汉对照）,40.99,132234
何光威,大数据可视化,17.15,168444
天道教育 编,美国留学申请（攻略篇）,0.99,34362
郭致星,做项目，就得这么干！,8.00,194901
袁士硕,中国古代文学作品选（四）,13.00,256269
[英] 赫伯特· 乔治· 威尔斯（Herbert George Wells）,时间机器,15.00,108352
梁衡,梁衡的21堂作文课,9.90,156347
Adobe中国授权培训中心 主编,Adobe After Effects国际认证培训教材,61.40,127808
路君平,资产评估理论与案例分析（第二版）,23.80,0
[英] 刘易斯·卡罗尔,爱丽丝镜中奇遇记,9.99,101168
崔恒华,实战多平台短视频运营：抖音、快手、微信视频号等,41.40,69482
[英] 约翰·比加姆（John Biggam）,研究生高分论文写作（第四版）,28.79,218765
小简学堂,《红楼梦》（精读课程）,14.99,188949
葛传椝,葛传椝向学习英语者讲话,9.99,36521
[英] 莎士比亚,哈姆雷特,5.99,118044
马丁·H·曼瑟,英语人名词语趣谈,5.99,143299
张富,C及C++程序设计(第4版),29.88,175572
杨青,拜厄钢琴基础教程（重点提示版）,11.20,13003
[加] 布兰登·罗伊尔,一本小小的金色语法书,8.00,60873
何海涛,剑指Offer（专项突破版）,62.30,238480
葛传槼,葛传槼英语惯用法词典,32.99,595324
金晶,研究生英语学术论文写作,39.20,38232
天道教育 编,留学生了嘛系列 美国留学申请（小白篇）,0.99,38802
阙登峰,美国留学申请文书写作指南（修订版）,27.96,261423
王琳,劳动合同法,13.50,167578
国家体育总局冬季运动管理中心,冰雪运动通用知识教材,40.80,95512
伍君仪,把你的词汇用起来,13.50,119487
陈小玉,算法训练营（入门篇）,90.86,262134
[美] 海明威,老人与海（英汉双语）,14.99,79408
何晓兵,网络营销：基础、策略与工具,29.70,336577
大一国文编撰委员会,西南联大国文课,13.99,189978
杨建军 等,失效分析与案例,36.90,197968
[澳] 格拉哈姆·帕特森（Graham Paterson）,商务英语10000单词,5.99,133082
戚文静,计算机专业英语,33.04,153966
温沁园,语文课超有趣：部编本语文教材同步学（四年级·上册）,14.00,72558
马骁 帅石金 丁海春,汽车文化（第3版）,40.60,219947
周刚,新高考英语翻译与概要写作,9.99,103757
周超 主编,TKT剑桥英语教学能力认证考试全真模拟试题（2020年版）,25.20,39528
威凤教育,数字媒体交互设计原理与方法,37.80,61943
朱天衣,朱天衣的作文课（全5册）,45.99,199507
张旸旸,软件评测师教程（第2版）,69.30,283690
迷死他赵 心理学眼泪,高而基考研心理学（统考版）——普通心理学分册,0.10,88918
杨海霞,数据库原理与设计（第2版）,21.60,164732
殷安全,中餐服务,13.00,47845
彭瑜,运动控制系统软件原理及其标准功能块应用,99.90,262128
王明欢,小学生思维导图作文课,13.99,73977
张道真,张道真英语语法（第三版：精华版）,39.00,188706
吕思勉,上下五千年,6.99,224775
金正昆,现代商务礼仪（第二版）,21.00,234741
傅莉萍,物流系统规划与设计,25.64,254113
欧阳林,批判性思维与中学语文阅读教学,29.50,194758
