Date,Open,Close,Change,Zhangdiefu,Low,High,Succeed,Succeed Price
2019-08-08,2784.18,2794.55,25.87,0.93%,2782.24,2799.69,149539568,17815614.00
2019-08-07,2789.02,2768.68,-8.88,-0.32%,2768.68,2792.69,157716752,17647574.00
2019-08-06,2776.99,2777.56,-43.94,-1.56%,2733.92,2787.42,231123728,25520922.00
2019-08-05,2854.58,2821.50,-46.34,-1.62%,2821.50,2863.69,167419424,19689148.00
2019-08-02,2861.33,2867.84,-40.93,-1.41%,2851.44,2872.47,184888448,21632740.00
2019-08-01,2920.85,2908.77,-23.74,-0.81%,2901.75,2927.34,142389808,17111564.00
2019-07-31,2944.40,2932.51,-19.83,-0.67%,2926.49,2944.40,141052352,16460787.00
2019-07-30,2946.26,2952.34,11.33,0.39%,2946.26,2965.63,148316464,17086634.00
2019-07-29,2943.92,2941.01,-3.53,-0.12%,2932.98,2948.47,127991848,14743914.00
2019-07-26,2928.06,2944.54,7.18,0.24%,2924.45,2948.33,139343392,15877467.00
2019-07-25,2923.19,2937.36,14.08,0.48%,2916.15,2937.36,145684384,17535638.00
2019-07-24,2907.93,2923.28,23.33,0.80%,2907.79,2936.45,155245760,17885810.00
2019-07-23,2886.90,2899.94,12.97,0.45%,2883.05,2901.36,129310504,14807735.00
2019-07-22,2925.79,2886.97,-37.23,-1.27%,2879.69,2927.16,180674976,20428944.00
2019-07-19,2909.68,2924.20,23.02,0.79%,2909.68,2939.60,149469552,14907122.00
2019-07-18,2921.74,2901.18,-30.52,-1.04%,2901.18,2921.74,149888832,14908885.00
2019-07-17,2933.02,2931.69,-5.92,-0.20%,2924.46,2942.07,149631616,15216296.00
2019-07-16,2938.64,2937.62,-4.57,-0.16%,2931.29,2944.82,131811744,14076640.00
2019-07-15,2921.55,2942.19,11.64,0.40%,2886.70,2955.00,167643392,17653320.00
2019-07-12,2915.34,2930.55,12.79,0.44%,2905.81,2938.53,137794752,14291888.00
2019-07-11,2928.06,2917.76,2.46,0.08%,2907.89,2945.80,143692528,15218141.00
2019-07-10,2935.19,2915.30,-12.93,-0.44%,2908.16,2936.75,135483536,14123626.00
2019-07-09,2928.82,2928.23,-5.13,-0.18%,2912.81,2937.76,145110592,15425143.00
2019-07-08,2997.81,2933.36,-77.70,-2.58%,2918.72,2997.81,211541264,20556882.00
2019-07-05,3004.74,3011.06,5.81,0.19%,2990.92,3014.85,156755424,16318084.00
2019-07-04,3015.68,3005.25,-10.01,-0.33%,2991.91,3024.50,194415120,20226640.00
2019-07-03,3031.83,3015.26,-28.68,-0.94%,3006.32,3031.83,212296176,21865800.00
2019-07-02,3042.58,3043.94,-0.96,-0.03%,3033.78,3048.48,214520624,22956662.00
2019-07-01,3024.62,3044.90,66.02,2.22%,3014.69,3045.37,250840432,26654106.00
2019-06-28,2992.24,2978.88,-17.91,-0.60%,2961.22,2992.24,181431520,18364176.00
2019-06-27,2982.61,2996.79,20.51,0.69%,2981.04,3011.54,195397056,20861866.00
2019-06-26,2964.62,2976.28,-5.79,-0.19%,2958.46,2986.91,174449536,17251604.00
2019-06-25,3004.91,2982.07,-26.07,-0.87%,2948.99,3004.91,243699248,24431508.00
2019-06-24,3004.29,3008.15,6.17,0.21%,2994.42,3012.83,210493888,21123718.00
2019-06-21,2990.37,3001.98,14.86,0.50%,2989.25,3010.35,286973824,27666246.00
2019-06-20,2917.33,2987.12,69.32,2.38%,2915.09,2997.39,291011552,28829654.00
