职位名称,公司名称,薪资,城市,发布时间,详细信息,内容
双瑞招聘厨师,长沙双瑞物业管理有限公司珠海分公司,5-7K,珠海市/香洲区,06-24 刷新过,"['年龄不限', '厨师']",
高级美甲美睫师,开平市长沙张小美甲店,3-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '其他（美容/健身/运动）']",
设计师家装,开平市长沙宁基建材店,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '家具/家居设计']",
物业客服管家,长沙双瑞物业管理有限公司珠海分公司,6-7K,珠海市/香洲区,06-24 刷新过,"['年龄不限', '物业管理']",
案场住宅客服主管,长沙双瑞物业管理有限公司珠海分公司,6-8K,珠海市/香洲区,06-24 刷新过,"['年龄不限', '客服主管/经理']",
酒店前台接待员,开平市碧桂园房地产开发有限公司长沙分公司,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '酒店前台/预定']",
话务员,开平市长沙泰盛建材店,5-9K,江门市/开平市,06-24 刷新过,"['年龄不限', '电话销售']",
高级美甲师,开平市长沙妃妃私颜美甲店,3-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '美甲师']",
高级美甲美睫师,开平市长沙张小美甲店,4-9K,江门市/开平市,06-24 刷新过,"['年龄不限', '其他（美容/健身/运动）']",
宠物美容师助理,开平市长沙精灵宠物店,2-3K,江门市/开平市,06-24 刷新过,"['年龄不限', '宠物美容']",
汽车美容洗车工,开平市长沙车之道洗车店,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '汽车美容']",
钢琴老师,开平市长沙乐音琴行,10-15K,江门市/开平市,06-24 刷新过,"['年龄不限', '音乐教师']",
调理师,开平市长沙道亨堂保健服务部,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '康复理疗师']",
设计师,开平市长沙力创天成装饰设计工程部,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '室内设计']",
物业服务中心前台助理,长沙双瑞物业管理有限公司珠海分公司,4-6K,珠海市/香洲区,06-24 刷新过,"['年龄不限', '物业管理']",
高级美甲美睫师,开平市长沙张小美甲店,4-9K,江门市/开平市,06-24 刷新过,"['年龄不限', '其他（美容/健身/运动）']",
美容师,开平市长沙思妍美容店,5-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '美容师']",
麻辣烫店长,开平市长沙台小美食店,4-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '餐饮']",
